,Name,Comment,Time,Likes,Reply Count,score,Comment_clean
0,Adrian Cunningham,The Witcher can kiss my shiny white ass! Time to go back home to Middle Earth! Lol,2021-09-16T22:10:28Z,0,0,0.3987,The Witcher can kiss my shiny white ass! Time to go back home to Middle Earth! Lol
1,MyAcer20,i hope they dont fuck it up like ghost busters 2 XD,2021-09-16T19:13:38Z,0,0,0.8881,i hope they dont fuck it up like ghost busters 2 XD
2,William Sizer,Everybody remember to read The Silmarillion before this thing starts!,2021-09-16T03:35:52Z,0,0,0.0,Everybody remember to read The Silmarillion before this thing starts!
3,In Thor We Trust,"Hopefully, 1990&#39;s dungeon synth is used in the soundtrack.",2021-09-15T06:43:19Z,0,0,0.4019,Hopefully 1990&39;s dungeon synth is used in the soundtrack.
4,You Tube,Did this dude just say 5 SEASONS,2021-09-15T02:53:58Z,0,0,0.0,Did this dude just say 5 SEASONS
5,Hermit Rob,I think I can&#39;t believe we have to wait another year!!,2021-09-14T20:25:17Z,0,0,0.0,I think I can&39;t believe we have to wait another year!!
6,J R,Nonsense,2021-09-14T19:39:29Z,0,0,-0.4019,Nonsense
7,Colin M,"So basically, you know nothing more than we do, you just think you know everything and therefore we should listen to your worthless drivel… haha, you got me for 5 minutes before I understood you were just spouting conjecture and guesswork. 👎🏼👎🏼👎🏼👎🏼👎🏼",2021-09-13T06:07:37Z,0,0,0.0258,So basically you know nothing more than we do you just think you know everything and therefore we should listen to your worthless drivel… haha you got me for 5 minutes before I understood you were just spouting conjecture and guesswork. 👎🏼👎🏼👎🏼👎🏼👎🏼
8,Chellebelle1211,The college years. Haha,2021-09-12T22:36:35Z,0,0,0.4588,The college years. Haha
9,J W,It&#39;s actually Krennic looking for Galen Erso...,2021-09-12T20:36:21Z,0,0,0.0,It&39;s actually Krennic looking for Galen Erso...
10,mattmilladb8,The Who? The what? Why… What? These names… oof.,2021-09-12T18:51:32Z,0,0,0.0,The Who? The what? Why… What? These names… oof.
11,Dhiraj Pallin,I would have preferred if the show was about the 1st age tbh. The epic battle vs Morgoth would have been so good.,2021-09-12T10:52:16Z,0,0,0.2827,I would have preferred if the show was about the 1st age tbh. The epic battle vs Morgoth would have been so good.
12,Tyler,Middle Earth:  The Lord of Gifts<br>Middle Earth: The Folly of Men<br>I&#39;m not good with names just posted these for fun.,2021-09-11T18:25:39Z,0,0,0.2249,Middle Earth:  The Lord of GiftsbrMiddle Earth: The Folly of MenbrI&39;m not good with names just posted these for fun.
13,Poindexter Queue,"Oh, beyond all hope -- <i>only a fool&#39;s hope</i> -- this looks so promising! I hope they delve into the First Age, and maybe the Elder Days?, in flashbacks. Maybe even one very vague scene of the Ainulindalë -- the creation of the universe.<br><br>See that? Get my hopes up <i>a little bit</i> and suddenly I start wanting <b>everything.</b>",2021-09-11T05:11:23Z,0,0,0.9209,Oh beyond all hope -- ionly a fool&39;s hope/i -- this looks so promising! I hope they delve into the First Age and maybe the Elder Days? in flashbacks. Maybe even one very vague scene of the Ainulindalë -- the creation of the universe.brbrSee that? Get my hopes up ia little bit/i and suddenly I start wanting beverything./b
14,TheInquisitor,I think the figure in white is female but who knows ...,2021-09-10T04:36:56Z,0,0,0.0,I think the figure in white is female but who knows ...
15,Robert Ironside,"The figure in the forground could also be Feanor creater of the Silmarillion Jewels from the light of the trees... just saying. Melkor and the other children of Illuvatar, the Valar [of the race called aenor I believe] would likely not be so Elvish looking as this character seems to be. Melkor who had recently been released from his chained existence during the first age... steals the jewells and murders Feanor&#39;s father while Feanor is at a meeting of the Elves &amp; Valar, who were staying in Valinor at the time, loses his composure and compells the Noldorin Elves to swear an oath to never return to the undying lands until they recapture the Jewells that Melkore has stolen along with his spider pal who poisons and kills the trees of night and day light respectively. Feanor is also the Elven smith who names Melkore &quot;Morgoth&quot; i.e. Enemy.... So ya... seems to me that of the many characters this person could be... You&#39;d want it to be poor old Feanor who denied in principle, the use of his Silmarils to re engergize the trees of night and day light... The Spider in question was not Shelob but a distant relative or progenitor Ungoliant. The Two Trees of Valinor also called the Two Trees or the Trees of the Valar, gave light into the Land of the Valar in ancient times. The Gold Tree is known as Laurelin. The Silver Tree is known as Telperion. The Two Trees were killed by Melkor with the help of Ungoliant, the primordial spider.",2021-09-09T10:19:17Z,0,0,-0.9319,The figure in the forground could also be Feanor creater of the Silmarillion Jewels from the light of the trees... just saying. Melkor and the other children of Illuvatar the Valar [of the race called aenor I believe] would likely not be so Elvish looking as this character seems to be. Melkor who had recently been released from his chained existence during the first age... steals the jewells and murders Feanor&39;s father while Feanor is at a meeting of the Elves &amp; Valar who were staying in Valinor at the time loses his composure and compells the Noldorin Elves to swear an oath to never return to the undying lands until they recapture the Jewells that Melkore has stolen along with his spider pal who poisons and kills the trees of night and day light respectively. Feanor is also the Elven smith who names Melkore &quot;Morgoth&quot; i.e. Enemy.... So ya... seems to me that of the many characters this person could be... You&39;d want it to be poor old Feanor who denied in principle the use of his Silmarils to re engergize the trees of night and day light... The Spider in question was not Shelob but a distant relative or progenitor Ungoliant. The Two Trees of Valinor also called the Two Trees or the Trees of the Valar gave light into the Land of the Valar in ancient times. The Gold Tree is known as Laurelin. The Silver Tree is known as Telperion. The Two Trees were killed by Melkor with the help of Ungoliant the primordial spider.
16,foxkenji,"I’m afraid Amazon is going to ruin this six ways to Sunday. Starting by making it woke/ <i>“diverse”</i> /toxic-feminist man-hating centric. Then force-feeding political propaganda du-jour/innuendos, and finally taking wholesale liberties in altering storylines that don’t support the toxicity of the above.<br><br>Look what happened to Star Wars. <br>🤭🤢🤮",2021-09-07T00:01:08Z,1,0,-0.4019,I’m afraid Amazon is going to ruin this six ways to Sunday. Starting by making it woke/ i“diverse”/i /toxic-feminist man-hating centric. Then force-feeding political propaganda du-jour/innuendos and finally taking wholesale liberties in altering storylines that don’t support the toxicity of the above.brbrLook what happened to Star Wars. br🤭🤢🤮
17,J L,Ron was a bad guy.,2021-09-05T09:43:14Z,0,0,-0.5423,Ron was a bad guy.
18,Ray Lane,I am hoping against hope that they won&#39;t screw it up like Star Trek/Kelvin or Star Wars.  Please treat the story with the respect it deserves.,2021-09-05T00:47:01Z,1,0,0.8834,I am hoping against hope that they won&39;t screw it up like Star Trek/Kelvin or Star Wars.  Please treat the story with the respect it deserves.
19,Wayne Shilcock,Amazon can go F itself!!!!,2021-09-04T07:55:29Z,0,0,0.4344,Amazon can go F itself!!!!
20,Joshua Smith,The Lore of the rings 😎,2021-09-04T00:45:16Z,0,0,0.0,The Lore of the rings 😎
21,Aniwayas Song,"Professor Tolkien created enough to keep anyone busy for decades, making stories about it all.<br>I can only pray Amazon doesn&#39;t &#39;Disney&#39; this Universe to <b>WOKE</b> stupidity.",2021-09-03T20:46:47Z,1,1,0.2732,Professor Tolkien created enough to keep anyone busy for decades making stories about it all.brI can only pray Amazon doesn&39;t &39;Disney&39; this Universe to bWOKE/b stupidity.
22,Jan Davis,It should be called Middle earth before the rings. Or Middle earth the age of explorations,2021-09-03T20:43:20Z,0,0,0.0772,It should be called Middle earth before the rings. Or Middle earth the age of explorations
23,Victor Cruz,I bet it will be filled with liberal political bullshit like all the other shows they make 😑😶😑,2021-09-03T17:38:22Z,0,0,-0.3182,I bet it will be filled with liberal political bullshit like all the other shows they make 😑😶😑
24,Prince Of Chicago,Thank you for this👑 (lord of the rings middle earth 2nd age),2021-09-03T07:38:29Z,0,0,0.3612,Thank you for this👑 (lord of the rings middle earth 2nd age)
25,David Griffiths,"I was fascinated by the Silmarillion with its remote, majestic, yet austere histories. It seems I shared this enjoyment with some rather more talented enthusiasts.",2021-09-02T20:39:04Z,0,11,0.9434,I was fascinated by the Silmarillion with its remote majestic yet austere histories. It seems I shared this enjoyment with some rather more talented enthusiasts.
26,Phoenix King,That figure was probably not melkor,2021-09-01T18:39:20Z,0,0,0.0,That figure was probably not melkor
27,Richard Peters,That&#39;s a great looking shot. I fear false hope....,2021-08-31T04:20:50Z,1,0,0.2263,That&39;s a great looking shot. I fear false hope....
28,777 One,"I Wonder if weta will be responsible for weapons, costumes...<br>Please<br>Peter Lyon",2021-08-29T08:07:29Z,0,0,-0.1531,I Wonder if weta will be responsible for weapons costumes...brPleasebrPeter Lyon
29,Clown Baby,Man this video is dogshit,2021-08-27T04:40:23Z,0,0,0.0,Man this video is dogshit
30,TaylorIncarnate,It took me 20min to watch this 7min video because Dan drops rapid-fire lore so fast I could hardly keep up.,2021-08-24T23:31:09Z,0,0,0.0,It took me 20min to watch this 7min video because Dan drops rapid-fire lore so fast I could hardly keep up.
31,Blobber Blobbarian,"Seriously, you fucking losers…. This is<br>Obviously the blobber glory of lobbed golf is being seen shaving the mass of ass of blobber gobbet",2021-08-23T23:21:01Z,0,0,-0.1779,Seriously you fucking losers…. This isbrObviously the blobber glory of lobbed golf is being seen shaving the mass of ass of blobber gobbet
32,NCC 1701,I can barely keep up !!! You talk way to fast mate.,2021-08-23T16:56:22Z,0,0,0.0,I can barely keep up !!! You talk way to fast mate.
33,Isaac Mashman,I’m amazed at how many fellow LOTR nerds are in the comment section 😂 Y’all make me look like I don’t know anything.,2021-08-23T03:30:54Z,2,1,0.6908,I’m amazed at how many fellow LOTR nerds are in the comment section 😂 Y’all make me look like I don’t know anything.
34,John Player,I still cry reading the battle of the king.,2021-08-22T01:34:37Z,1,0,-0.6908,I still cry reading the battle of the king.
35,Hellen Laespriell,That is Aradhel,2021-08-21T23:23:39Z,0,0,0.0,That is Aradhel
36,fmax,I loved the flashbacks in the LOTR trilogy. I hope they do many similar flashbacks in this series. It could add so much depth if done correctly.,2021-08-21T22:20:44Z,0,0,0.7783,I loved the flashbacks in the LOTR trilogy. I hope they do many similar flashbacks in this series. It could add so much depth if done correctly.
37,bubber25,i hope this is all true and i hope they dont woke this up into an lgbt pride fest of gay orcs and hate of white males,2021-08-21T02:14:58Z,1,7,0.743,i hope this is all true and i hope they dont woke this up into an lgbt pride fest of gay orcs and hate of white males
38,Joseph von Blingin',"<a href=""https://www.youtube.com/watch?v=7HK1uLDtzX4&amp;t=2m10s"">2:10</a> its fucking gandalf... isnt it... (goosebumps)  or just some bloke in robes that escaped a mental asylum?",2021-08-20T12:48:56Z,0,1,0.0,"a href=""https://www.youtube.com/watch?v=7HK1uLDtzX4&amp;t=2m10s""2:10/a its fucking gandalf... isnt it... (goosebumps)  or just some bloke in robes that escaped a mental asylum?"
39,Rosa Rubiginosa,It sure sounds interesting! I’ll be willing to take a look,2021-08-19T23:40:36Z,1,0,0.6476,It sure sounds interesting! I’ll be willing to take a look
40,Aussiemarco,The mystery figure is Tyrion Lannister looking for his lost Intimacy Consultant,2021-08-19T22:26:31Z,0,0,-0.3182,The mystery figure is Tyrion Lannister looking for his lost Intimacy Consultant
41,Truth Seeker,"I want to be excited but i know it&#39;s just gonna be another woke snoozefest, there will probably be gay wizards and transgender elves or some other such BS",2021-08-19T15:03:57Z,0,0,0.2144,I want to be excited but i know it&39;s just gonna be another woke snoozefest there will probably be gay wizards and transgender elves or some other such BS
42,born levensregt,"Small remark: The Two Trees iluminated West Earth (=Valinor on the continent of Aman) and definitely not Middle Earth. Middle Earth only had starlight. In the beginnig the stars were faint and far, but when the prophesy was spoken that the Elves would awake in Middle Earth if Varda would set some bright stars in the skies, she started that work and indeed after completion the Elves awoke. When the Ithil, the Moon, rose for the first time, the stars bleached somewhat.",2021-08-19T12:33:30Z,0,0,0.6908,Small remark: The Two Trees iluminated West Earth (=Valinor on the continent of Aman) and definitely not Middle Earth. Middle Earth only had starlight. In the beginnig the stars were faint and far but when the prophesy was spoken that the Elves would awake in Middle Earth if Varda would set some bright stars in the skies she started that work and indeed after completion the Elves awoke. When the Ithil the Moon rose for the first time the stars bleached somewhat.
43,Aimhigher,I&#39;m so wet for this,2021-08-19T09:44:39Z,0,0,0.0,I&39;m so wet for this
44,Jaded Old Joe,"If you don’t know what Gandalf Raping Day is, you don’t know anything about Middle-earth.",2021-08-17T03:09:01Z,0,0,-0.7003,If you don’t know what Gandalf Raping Day is you don’t know anything about Middle-earth.
45,Hellen Laespriell,The trees aren’t from the first age,2021-08-17T02:57:31Z,0,0,0.0,The trees aren’t from the first age
46,Just Caino,I was in the middle of commenting that the image is probably from a prologue like LOTR and you beat me to it lolz,2021-08-16T08:42:47Z,1,0,0.7351,I was in the middle of commenting that the image is probably from a prologue like LOTR and you beat me to it lolz
47,Shael Isenberg,Did anyone else cheer them get all upset when he clarified,2021-08-16T02:34:21Z,0,0,0.1779,Did anyone else cheer them get all upset when he clarified
48,Stefan James Comyn,"Gonna be woke garbage. Hard pass. Cant improve on perfection. Thank you, Peter Jackson. You will never be surpassed",2021-08-16T01:10:13Z,2,3,-0.5113,Gonna be woke garbage. Hard pass. Cant improve on perfection. Thank you Peter Jackson. You will never be surpassed
49,Deadpool joker,"If they use the treasure &quot;Tolkien books&quot; they got good , this show could outstand game of thrones,  honestly",2021-08-15T23:07:42Z,0,0,0.7964,If they use the treasure &quot;Tolkien books&quot; they got good  this show could outstand game of thrones  honestly
50,Vandalay Industries,Definitely NOT watching that race-swapping woke shit show. Nah.,2021-08-15T22:28:30Z,0,1,-0.3182,Definitely NOT watching that race-swapping woke shit show. Nah.
51,J.A.H. van de Laak,Who will compose the music? Super important! Jeremy Soule?,2021-08-15T16:31:33Z,1,1,0.747,Who will compose the music? Super important! Jeremy Soule?
52,Porridge,They’re definitely going to ruin it,2021-08-15T02:48:12Z,0,0,-0.2732,They’re definitely going to ruin it
53,Chad,Slow down,2021-08-15T01:27:25Z,0,0,0.0,Slow down
54,Andrew Harrison,Makes sense. Naturally they will go back in time and start at the very very beginning.,2021-08-15T01:08:20Z,0,0,0.0,Makes sense. Naturally they will go back in time and start at the very very beginning.
55,Jacob Chow,When will we prob get a trailer?,2021-08-14T16:53:11Z,0,0,0.0,When will we prob get a trailer?
56,Nick Needs 1 Sub,Better than Game of Thrones,2021-08-14T16:13:17Z,0,0,0.4404,Better than Game of Thrones
57,Joseph Casey,This is going to be epic...,2021-08-14T12:28:10Z,0,0,0.0,This is going to be epic...
58,Michael Lewis-Shermer,Trees destroyed before the first age.,2021-08-14T10:11:10Z,0,0,-0.4939,Trees destroyed before the first age.
59,Paolo Palmieri,"I admit that the picture reminds me of aerendill trying to get response from the gods in Tirion after Morgoth&#39;s complete victory on middle earth at the end of the first era but...the presence of the two trees contraddicts this theory! So the most probable theory and also the most difficult one  to think about is the following one: that presence before Tirion and that beautiful green land is Feanor at the moment he decides to put the beautiful light of the trees into his gems : the Silmarilli. what do you think about? in the end of the day isn&#39;ìt it the beginning of all Noldor and consequentially of the three edain family too, terrible war against Morgoth ?",2021-08-14T09:26:28Z,1,0,-0.2132,I admit that the picture reminds me of aerendill trying to get response from the gods in Tirion after Morgoth&39;s complete victory on middle earth at the end of the first era but...the presence of the two trees contraddicts this theory! So the most probable theory and also the most difficult one  to think about is the following one: that presence before Tirion and that beautiful green land is Feanor at the moment he decides to put the beautiful light of the trees into his gems : the Silmarilli. what do you think about? in the end of the day isn&39;ìt it the beginning of all Noldor and consequentially of the three edain family too terrible war against Morgoth ?
60,UWCB,That host is beyond annoying.,2021-08-14T04:00:40Z,0,0,-0.4019,That host is beyond annoying.
61,Finarfin Noldorin,Figures they would focus on Melkor&#39;s minions... :P,2021-08-14T02:57:48Z,0,0,0.4824,Figures they would focus on Melkor&39;s minions... :P
62,Daniel Reed,Some of us are going to die before the show airs,2021-08-14T00:35:00Z,0,0,-0.5994,Some of us are going to die before the show airs
63,Frank Zane,I heard they will be moving filming from NZ to the UK…….I wouldn’t mind visiting the locations,2021-08-13T19:54:44Z,0,0,0.0,I heard they will be moving filming from NZ to the UK…….I wouldn’t mind visiting the locations
64,CoRE,LOTR: The rise of (SAURON) Skywalker,2021-08-13T18:39:31Z,1,0,0.0,LOTR: The rise of (SAURON) Skywalker
65,Giulio Aprati,"The pic Is not the 1st Age, it Is from the years of the Trees. Those are set thousands of years b4 the 1st Age even begin",2021-08-13T11:41:39Z,1,0,0.0,The pic Is not the 1st Age it Is from the years of the Trees. Those are set thousands of years b4 the 1st Age even begin
66,jerimiah smedley,"This show is taking so long because they have shot it multiple times and just think it’s not brown and black washed enough. “Scrap this entire season, it needs more black and brown characters!”",2021-08-13T05:28:06Z,0,0,0.0,This show is taking so long because they have shot it multiple times and just think it’s not brown and black washed enough. “Scrap this entire season it needs more black and brown characters!”
67,Mike Mush,Sure looks like Director Krennic to me.,2021-08-13T04:01:15Z,0,0,0.5859,Sure looks like Director Krennic to me.
68,Nick Bennett,"I don&#39;t think it was Illuvatar that destroyed Numenor, I thought it was one of the Valar like maybe Manwe?",2021-08-12T09:24:39Z,1,2,-0.1779,I don&39;t think it was Illuvatar that destroyed Numenor I thought it was one of the Valar like maybe Manwe?
69,Sid Miguel,"If there&#39;s anything overtly sexual, or any kind of smut in this series I&#39;m going to absolutely lose my shit. Not EVERYTHING has to be like game of thrones. I hope the Tolkien estate doesn&#39;t let these people mar his work.",2021-08-12T03:42:19Z,1,1,-0.352,If there&39;s anything overtly sexual or any kind of smut in this series I&39;m going to absolutely lose my shit. Not EVERYTHING has to be like game of thrones. I hope the Tolkien estate doesn&39;t let these people mar his work.
70,hobbitassassin1,"That guy would be looking west towards the two trees if that&#39;s from Valmar, not north. Melkor fled south where he met ungoliant.",2021-08-11T11:36:32Z,0,1,0.0,That guy would be looking west towards the two trees if that&39;s from Valmar not north. Melkor fled south where he met ungoliant.
71,Doug S,Would be great to see Bored Of The Rings on screen. No disrespect to LOTR which I love.,2021-08-11T09:39:55Z,0,0,0.4939,Would be great to see Bored Of The Rings on screen. No disrespect to LOTR which I love.
72,Exxcalibur S,Love to see Eregion and the Gwaith i MIrdain in action and Celebrimbor ( love him to death) impaled on a orc pike... that and the Silmarillion in a future series.,2021-08-11T09:33:10Z,0,0,0.8555,Love to see Eregion and the Gwaith i MIrdain in action and Celebrimbor ( love him to death) impaled on a orc pike... that and the Silmarillion in a future series.
73,Atzan,"Sauron didn’t corrupt the Númenoreans into worshipping Melkor instead of the Valar as the Númenoreans never worshipped the Valar: they worshipped Eru who is the sole god of the world, whom the Valar serve.<br><br>Also, a city on a green hill dominated by a tall tower in a steep-walled cleft between the mountains: that’s Tirion upon Túna, the city of the Noldorin elves including Galadriel, most of whom later returned to Middle Earth, not Valmar, the city of the Valar which was situated on the Plain of Valinor.",2021-08-11T09:06:09Z,1,0,-0.3173,Sauron didn’t corrupt the Númenoreans into worshipping Melkor instead of the Valar as the Númenoreans never worshipped the Valar: they worshipped Eru who is the sole god of the world whom the Valar serve.brbrAlso a city on a green hill dominated by a tall tower in a steep-walled cleft between the mountains: that’s Tirion upon Túna the city of the Noldorin elves including Galadriel most of whom later returned to Middle Earth not Valmar the city of the Valar which was situated on the Plain of Valinor.
74,Joseph McCarthy,"You&#39;re not funny.  Bilbo also wasn&#39;t his name,  it was Maura.  I also don&#39;t know who &quot;tol-ken&quot; is  the writer of the books was &quot;Tol-keen&quot;",2021-08-11T03:59:01Z,0,2,-0.3412,You&39;re not funny.  Bilbo also wasn&39;t his name  it was Maura.  I also don&39;t know who &quot;tol-ken&quot; is  the writer of the books was &quot;Tol-keen&quot;
75,michardav,Feanor. He gazed at the trees and wondered how to capture their light; the figure doesn&#39;t look malicious. It&#39;s to provide backstory on how the high elves came to be back in Middle Earth,2021-08-11T01:27:45Z,7,1,0.0,Feanor. He gazed at the trees and wondered how to capture their light; the figure doesn&39;t look malicious. It&39;s to provide backstory on how the high elves came to be back in Middle Earth
76,Danilo Nascimento,"The city is obviously Tirion, not Valmar.",2021-08-10T19:22:54Z,0,0,0.0,The city is obviously Tirion not Valmar.
77,Wake People Up.,"yea this show is gonna suck, dont try to sugarcoat it",2021-08-10T18:56:51Z,1,0,-0.4404,yea this show is gonna suck dont try to sugarcoat it
78,Andrew Parry,Interesting. If this works there is  plenty of material in the Silmarillion to go back even further. The tale of Beren and Luthien is pretty much a self-contained film waiting to be made.,2021-08-10T11:43:32Z,0,0,0.7096,Interesting. If this works there is  plenty of material in the Silmarillion to go back even further. The tale of Beren and Luthien is pretty much a self-contained film waiting to be made.
79,janroeac,Butchered it,2021-08-10T10:39:09Z,0,0,0.0,Butchered it
80,dedy santoso,"Maybe this movie will have 3 or 5 episode,,because the story is not short",2021-08-10T05:25:22Z,0,0,0.0,Maybe this movie will have 3 or 5 episodebecause the story is not short
81,Tuğra Canhilal,I think he got the city wrong. It should be Tirion the city of elves,2021-08-09T18:15:26Z,0,0,-0.4767,I think he got the city wrong. It should be Tirion the city of elves
82,Jason Peterson,The image actually depicts the Years of the Tress which was BEFORE the First Age,2021-08-09T18:01:34Z,0,0,0.0,The image actually depicts the Years of the Tress which was BEFORE the First Age
